n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
50,0.4974241790278649,0.5141150062837108,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.030965962568901457,0.40617439093662
50,0.4974241790278649,0.5141150062837108,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.0571055221109823,0.5178473105334912
50,0.4974241790278649,0.5141150062837108,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.0577107847400406,0.523335985061589
50,0.4974241790278649,0.5141150062837108,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.05088981713005589,0.5303333177782364
50,0.4974241790278649,0.5141150062837108,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.050299153769076774,0.5241778926345865
50,0.4974241790278649,0.5141150062837108,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.04030216026218385,0.5146349359739613
50,0.4974241790278649,0.5141150062837108,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.044018437882454645,0.5620896203563288
50,0.4974241790278649,0.5141150062837108,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06839018230576155,0.5573585265192081
50,0.4974241790278649,0.5141150062837108,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06704789830248113,0.5464193330704483
40,0.485542201341997,0.5024089610453728,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.04541022162627814,0.41382076996496303
40,0.485542201341997,0.5024089610453728,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.047056717033206207,0.4288251890723223
40,0.485542201341997,0.5024089610453728,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.03137895176091745,0.4115914882788149
40,0.485542201341997,0.5024089610453728,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.030662763046688878,0.4021973829236139
40,0.485542201341997,0.5024089610453728,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.057152563110303034,0.5182738902070946
40,0.485542201341997,0.5024089610453728,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05688223756009196,0.5158225097806407
40,0.485542201341997,0.5024089610453728,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.045812413040734856,0.4774206388132325
40,0.485542201341997,0.5024089610453728,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.04668182734962018,0.48648098528248146
40,0.485542201341997,0.5024089610453728,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.04021325588750294,0.513499679281167
40,0.485542201341997,0.5024089610453728,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.04445895646208219,0.5677147841080269
40,0.485542201341997,0.5024089610453728,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06725645790844247,0.5481190284178058
40,0.485542201341997,0.5024089610453728,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06659643759638596,0.5427400699738016
